지역별(1),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 총발전량①+② (MWh),신·재생에너지 지역별 발전비중 (%),신·재생에너지 지역별 발전비중 (%),신·재생에너지 지역별 발전비중 (%),① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지
지역별(1),소계,소계,소계,사업용,사업용,사업용,자가용,자가용,자가용,① 재생에너지 합,① 재생에너지 합,① 재생에너지 합,① 재생에너지 합,① 재생에너지 합,① 재생에너지 합,① 재생에너지 합,① 재생에너지 합,① 재생에너지 합,② 신에너지 합,② 신에너지 합,② 신에너지 합,② 신에너지 합,② 신에너지 합,② 신에너지 합,② 신에너지 합,② 신에너지 합,② 신에너지 합,소계,소계,소계,태양광 (MWh),태양광 (MWh),태양광 (MWh),태양광 (MWh),태양광 (MWh),태양광 (MWh),태양광 (MWh),태양광 (MWh),태양광 (MWh),풍력 (MWh),풍력 (MWh),풍력 (MWh),풍력 (MWh),풍력 (MWh),풍력 (MWh),풍력 (MWh),풍력 (MWh),풍력 (MWh),수력 (MWh),수력 (MWh),수력 (MWh),수력 (MWh),수력 (MWh),수력 (MWh),수력 (MWh),수력 (MWh),수력 (MWh),해양 (MWh),해양 (MWh),해양 (MWh),해양 (MWh),해양 (MWh),해양 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),바이오 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),폐기물 (MWh),연료전지 (MWh),연료전지 (MWh),연료전지 (MWh),연료전지 (MWh),연료전지 (MWh),연료전지 (MWh),연료전지 (MWh),연료전지 (MWh),연료전지 (MWh),IGCC (MWh),IGCC (MWh),IGCC (MWh),IGCC (MWh),IGCC (MWh),IGCC (MWh)
지역별(1),2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2023,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023
전국,"50,657,393","57,779,999","60,399,865","46,856,560","53,154,366","55,593,383","3,800,833","4,625,634","4,806,483","43,668,518","50,405,547","53,146,000","39,938,435","45,859,855","48,432,407","3,730,083","4,545,692","4,713,593","6,988,875","7,374,452","7,253,865","6,918,125","7,294,511","7,160,976","70,750","79,942","92,889",100.00,100.00,100.00,"24,717,623","30,726,260","33,236,447","21,444,281","26,682,924","28,912,204","3,273,342","4,043,336","4,324,243","3,180,017","3,369,458","3,392,165","3,169,833","3,358,850","3,382,397","10,184","10,608","9,768","3,057,210","3,544,866","3,718,015","3,054,616","3,541,073","3,716,390","2,595","3,793","1,625","454,980","423,843","437,567","454,980","423,843","437,567","11,788,068","11,927,592","11,918,038","11,454,757","11,503,337","11,652,459","333,310","424,255","265,579","191,081","152,742","160,550","174,406","135,429","126,303","16,675","17,312","34,247","187,485","206,760","218,741","187,485","206,760","218,741",-,-,-,"222,248","319,428","423,195","167,583","319,428","423,195","54,665",-,-,"6,794,232","7,393,419","6,597,030","6,794,232","7,393,419","6,597,030",-,-,-,-,-,-,-,-,-,-,-,-,"261,970","234,792","231,332","261,970","234,792","231,332","406,146","73,784","94,512","406,146","73,784","94,512","1,892,499","1,892,487","2,515,600","1,892,499","1,720,336","2,515,600",-,"172,150",-,"1,832,406","1,654,179","1,677,077","1,832,406","1,654,179","1,677,077","470,620","413,529","443,769","359,968","349,828","331,391","110,652","63,701","112,378",-,-,-,-,-,-,-,-,-,"108,574","142,400","116,131","98,312","139,179","95,987","10,263","3,221","20,144","222,835","173,702","206,264","128,370","116,984","116,895","94,465","56,718","89,369",-,-,"139,211","97,427","121,373","133,286","93,665","118,509","5,924","3,762","2,865",-,-,-,-,-,-,-,-,-,-,-,-,-,"4,798,120","5,409,625","6,257,348","4,727,370","5,329,684","6,164,458","70,750","79,942","92,889","2,190,755","1,964,827","996,517","2,190,755","1,964,827","996,517"
충남,"8,489,538","9,023,827","8,600,653","8,156,726","8,500,371","8,206,535","332,812","523,456","394,118","5,845,613","6,570,279","7,082,180","5,514,779","6,049,240","6,691,158","330,834","521,040","391,022","2,643,925","2,453,548","1,518,473","2,641,947","2,451,131","1,515,377","1,978","2,416","3,096",16.76,15.62,14.24,"3,094,979","3,693,682","3,991,277","2,820,507","3,345,851","3,600,965","274,472","347,831","390,312","2,047","2,133",736,"1,976","2,021",602,71,112,134,"57,296","52,379","54,553","57,229","52,367","54,553",67,12,-,-,-,-,-,-,-,"2,677,939","2,810,616","3,019,373","2,622,595","2,638,367","3,018,820","55,345","172,249",553,"12,176","12,051","14,577","11,496","11,953","14,024",679,99,553,-,-,-,-,-,-,-,-,-,"54,665","219,746",-,-,"219,746",-,"54,665",-,-,"1,364,378","1,627,134","1,395,642","1,364,378","1,627,134","1,395,642",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"306,950","62,373","79,032","306,950","62,373","79,032","939,771","889,312","1,530,122","939,771","717,162","1,530,122",-,"172,150",-,-,-,-,-,-,-,"13,352","11,469","16,241","12,473","10,633","16,218",879,836,23,-,-,-,-,-,-,-,-,-,"9,395","9,059","10,188","9,395","9,059","10,188",-,-,-,"1,955","1,980","1,656","1,075","1,144","1,632",879,836,23,-,-,"2,002",430,"4,398","2,002",430,"4,398",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"453,170","488,720","521,956","451,192","486,304","518,860","1,978","2,416","3,096","2,190,755","1,964,827","996,517","2,190,755","1,964,827","996,517"
전북,"8,325,469","10,385,213","10,205,081","8,061,705","10,060,735","9,828,911","263,764","324,479","376,170","8,314,254","10,274,015","10,070,791","8,051,746","9,951,295","9,697,132","262,508","322,720","373,658","11,215","111,198","134,290","9,959","109,439","131,779","1,256","1,759","2,512",16.43,17.97,16.90,"4,231,407","5,534,009","5,764,753","3,973,898","5,211,344","5,395,594","257,510","322,665","369,158","145,910","161,686","143,664","145,862","161,631","143,612",48,55,53,"238,930","212,888","252,879","238,930","212,888","252,879",-,-,-,-,-,-,-,-,-,"3,676,706","4,347,686","3,891,039","3,676,706","4,347,686","3,891,039",-,-,-,"23,314","16,314","16,527","23,314","16,314","16,527",-,-,-,-,-,-,-,-,-,-,-,-,"61,416","32,047","327,060","61,416","32,047","327,060",-,-,-,"3,193,072","3,967,655","3,215,613","3,193,072","3,967,655","3,215,613",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"398,904","331,670","331,840","398,904","331,670","331,840",-,-,-,-,-,-,-,-,-,"21,301","17,747","18,456","16,350","17,747","14,009","4,950",-,"4,447",-,-,-,-,-,-,-,-,-,"8,114","6,875","5,690","8,114","6,875","5,690",-,-,-,"13,135","10,847","12,478","8,185","10,847","8,031","4,950",-,"4,447",-,-,51,25,287,51,25,287,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,215","111,198","134,290","9,959","109,439","131,779","1,256","1,759","2,512",-,-,-,-,-,-
전남,"6,158,271","7,481,402","8,247,703","5,826,006","7,091,288","7,801,515","332,265","390,114","446,188","5,928,947","7,189,211","7,921,805","5,598,852","6,801,583","7,478,354","330,095","387,628","443,451","229,324","292,191","325,898","227,154","289,705","323,160","2,170","2,487","2,738",12.16,12.95,13.66,"5,198,466","6,376,158","7,086,350","4,881,180","5,991,772","6,662,083","317,285","384,385","424,267","525,511","585,571","643,958","522,524","582,492","641,139","2,987","3,079","2,819","86,132","56,039","79,929","86,132","56,039","79,929",-,-,-,13,3,28,13,3,28,"57,690","93,969","47,158","57,293","93,806","47,079",397,163,78,"1,362","1,477","1,564",966,"1,314","1,485",397,163,78,"6,090","5,106","5,391","6,090","5,106","5,391",-,-,-,"36,282","61,170","38,107","36,282","61,170","38,107",-,-,-,-,-,"1,426",-,-,"1,426",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,956","26,216",670,"13,956","26,216",670,-,-,-,-,-,-,-,-,-,"61,136","77,472","64,382","51,710","77,472","48,096","9,426",-,"16,286",-,-,-,-,-,-,-,-,-,"10,496","34,373","16,956","1,070","34,373",670,"9,426",-,"16,286",-,-,-,-,-,-,-,-,-,-,-,"50,640","43,099","47,425","50,640","43,099","47,425",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"229,324","292,191","325,898","227,154","289,705","323,160","2,170","2,487","2,738",-,-,-,-,-,-
강원,"5,888,937","6,479,493","6,510,882","5,682,226","6,226,302","6,237,930","206,711","253,191","272,952","5,740,642","6,203,412","6,059,528","5,534,547","5,951,086","5,787,572","206,096","252,326","271,956","148,294","276,081","451,355","147,679","275,216","450,358",615,865,997,11.63,11.21,10.78,"1,831,240","2,181,578","2,315,785","1,627,844","1,931,527","2,049,013","203,396","250,051","266,772","947,359","954,664","960,841","945,255","952,472","958,805","2,104","2,192","2,036","713,162","1,169,315","946,355","713,162","1,169,315","946,355",-,-,-,-,-,-,-,-,-,"2,225,996","1,883,771","1,816,738","2,225,996","1,883,771","1,813,623",-,-,"3,116","12,431","11,306","13,440","12,431","11,306","10,324",-,-,"3,116","1,654","1,251",728,"1,654","1,251",728,-,-,-,"33,411",-,"37,628","33,411",-,"37,628",-,-,-,"1,995,576","1,667,245","1,622,843","1,995,576","1,667,245","1,622,843",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"182,924","203,969","142,099","182,924","203,969","142,099",-,-,-,-,-,-,-,-,-,"22,885","14,084","19,808","22,289","14,001","19,776",597,83,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,091","2,927","4,018","2,494","2,844","3,986",597,83,32,-,-,"19,794","11,157","15,790","19,794","11,157","15,790",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"148,294","276,081","451,355","147,679","275,216","450,358",615,865,997,-,-,-,-,-,-
경기,"4,733,827","5,269,025","5,672,313","4,163,697","4,593,272","4,951,878","570,130","675,753","720,435","3,280,766","3,723,948","4,046,029","2,721,135","3,060,639","3,341,267","559,631","663,309","704,762","1,453,062","1,545,077","1,626,284","1,442,562","1,532,633","1,610,611","10,500","12,444","15,673",9.34,9.12,9.39,"1,764,822","2,133,592","2,346,126","1,247,867","1,492,491","1,679,945","516,955","641,101","666,181","4,680","4,495","3,409","4,609","4,418","3,340",71,76,70,"633,233","717,533","743,505","631,891","716,126","742,495","1,342","1,408","1,010","454,961","423,839","437,534","454,961","423,839","437,534","346,957","379,897","434,457","338,567","374,028","429,178","8,390","5,869","5,279","60,627","32,676","27,481","52,238","26,807","22,203","8,390","5,869","5,279",-,-,-,-,-,-,-,-,-,"23,148",-,"5,772","23,148",-,"5,772",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,612",-,-,"2,612","263,181","347,221","398,591","263,181","347,221","398,591",-,-,-,-,-,-,-,-,-,"76,112","64,591","80,998","43,240","49,736","48,775","32,873","14,855","32,223",-,-,-,-,-,-,-,-,-,"36,705","35,809","35,682","36,705","35,809","35,682",-,-,-,"39,406","28,782","45,180","6,533","13,927","12,957","32,873","14,855","32,223",-,-,2,-,136,2,-,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,453,062","1,545,077","1,626,284","1,442,562","1,532,633","1,610,611","10,500","12,444","15,673",-,-,-,-,-,-
경북,"4,393,519","5,315,057","5,804,541","4,102,883","4,943,687","5,375,569","290,636","371,370","428,971","4,357,360","5,285,824","5,682,615","4,071,233","4,919,523","5,259,298","286,127","366,301","423,317","36,159","29,233","121,926","31,650","24,164","116,272","4,509","5,069","5,654",8.67,9.20,9.61,"3,076,962","4,085,780","4,385,932","2,802,470","3,732,454","3,978,566","274,492","353,326","407,366","914,994","913,760","933,978","914,218","912,960","933,232",776,801,746,"292,238","238,520","303,783","292,238","238,520","303,783",-,-,-,-,-,-,-,-,-,"22,778","19,547","25,571","21,676","13,151","18,704","1,102","6,396","6,866","7,885","8,136","12,703","6,783","1,739","5,837","1,102","6,396","6,866",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,893","11,412","12,867","14,893","11,412","12,867",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"50,388","28,216","33,351","40,631","22,438","25,012","9,758","5,778","8,339",-,-,-,-,-,-,-,-,-,"6,314","5,563","5,311","6,314","5,563","5,047",-,-,265,"24,549","14,030","16,977","14,791","8,252","8,903","9,758","5,778","8,074",-,-,"19,526","8,623","11,063","19,526","8,623","11,063",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"36,159","29,233","121,926","31,650","24,164","116,272","4,509","5,069","5,654",-,-,-,-,-,-
제주,"2,662,500","2,996,072","3,006,387","2,568,752","2,883,863","2,902,996","93,748","112,209","103,392","2,662,109","2,995,689","3,005,989","2,568,752","2,883,863","2,902,996","93,358","111,826","102,993",390,383,399,-,-,-,390,383,399,5.26,5.19,4.98,"676,330","787,739","762,818","587,874","679,703","661,825","88,456","108,036","100,993","529,363","573,980","516,527","527,766","572,340","515,030","1,596","1,641","1,497","3,198","2,829","2,876","2,981","2,638","2,770",217,190,105,6,1,4,6,1,4,"1,410,179","1,611,653","1,691,418","1,410,179","1,611,653","1,691,020",-,-,398,"1,977","2,718","2,689","1,977","2,718","2,291",-,-,398,"2,330","1,778","1,212","2,330","1,778","1,212",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,484","8,452","10,440","1,484","8,452","10,440",-,-,-,"1,404,388","1,598,705","1,677,077","1,404,388","1,598,705","1,677,077","43,033","19,487","32,345","39,945","17,528","32,345","3,088","1,959",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"43,033","19,487","32,345","39,945","17,528","32,345","3,088","1,959",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,390,383,399,-,-,-,390,383,399,-,-,-,-,-,-
